crown_id,species,genus,species_id,genus_id
302,Quercus laevis,Quercus,QULA,QU
404,Pinus palustris,Pinus,PIPA,PI
482,Acer rubrum,Acer,ACRU,AC
199,Pinus palustris,Pinus,PIPA,PI
373,Liquidambar styraciflua,Liquidambar,LIST,LI
446,Pinus palustris,Pinus,PIPA,PI
554,Other species,Other,OTHER,OT
452,Pinus palustris,Pinus,PIPA,PI
262,Quercus geminata,Quercus,QUGE,QU
493,Pinus palustris,Pinus,PIPA,PI
254,Pinus palustris,Pinus,PIPA,PI
390,Pinus palustris,Pinus,PIPA,PI
287,Pinus palustris,Pinus,PIPA,PI
295,Quercus laevis,Quercus,QULA,QU
92,Quercus laevis,Quercus,QULA,QU
276,Pinus palustris,Pinus,PIPA,PI
561,Pinus taeda,Pinus,PITA,PI
241,Pinus palustris,Pinus,PIPA,PI
13,Pinus palustris,Pinus,PIPA,PI
121,Pinus palustris,Pinus,PIPA,PI
55,Pinus palustris,Pinus,PIPA,PI
99,Pinus palustris,Pinus,PIPA,PI
528,Pinus palustris,Pinus,PIPA,PI
492,Pinus palustris,Pinus,PIPA,PI
24,Quercus geminata,Quercus,QUGE,QU
622,Quercus nigra,Quercus,QUNI,QU
251,Pinus palustris,Pinus,PIPA,PI
473,Pinus palustris,Pinus,PIPA,PI
451,Pinus palustris,Pinus,PIPA,PI
110,Pinus palustris,Pinus,PIPA,PI
338,Pinus palustris,Pinus,PIPA,PI
168,Pinus palustris,Pinus,PIPA,PI
424,Pinus palustris,Pinus,PIPA,PI
274,Pinus palustris,Pinus,PIPA,PI
497,Pinus palustris,Pinus,PIPA,PI
369,Pinus palustris,Pinus,PIPA,PI
601,Pinus palustris,Pinus,PIPA,PI
228,Pinus palustris,Pinus,PIPA,PI
171,Quercus laevis,Quercus,QULA,QU
16,Pinus taeda,Pinus,PITA,PI
170,Pinus palustris,Pinus,PIPA,PI
354,Pinus palustris,Pinus,PIPA,PI
174,Quercus geminata,Quercus,QUGE,QU
378,Quercus laevis,Quercus,QULA,QU
297,Pinus taeda,Pinus,PITA,PI
463,Pinus palustris,Pinus,PIPA,PI
61,Pinus palustris,Pinus,PIPA,PI
283,Pinus palustris,Pinus,PIPA,PI
410,Other species,Other,OTHER,OT
83,Acer rubrum,Acer,ACRU,AC
153,Pinus palustris,Pinus,PIPA,PI
366,Pinus palustris,Pinus,PIPA,PI
71,Pinus taeda,Pinus,PITA,PI
472,Quercus laevis,Quercus,QULA,QU
4,Pinus palustris,Pinus,PIPA,PI
18,Other species,Other,OTHER,QU
574,Quercus laevis,Quercus,QULA,QU
517,Pinus palustris,Pinus,PIPA,PI
139,Quercus geminata,Quercus,QUGE,QU
527,Pinus palustris,Pinus,PIPA,PI
339,Quercus laevis,Quercus,QULA,QU
136,Pinus palustris,Pinus,PIPA,PI
162,Pinus palustris,Pinus,PIPA,PI
304,Pinus palustris,Pinus,PIPA,PI
521,Pinus palustris,Pinus,PIPA,PI
268,Pinus taeda,Pinus,PITA,PI
450,Pinus palustris,Pinus,PIPA,PI
79,Pinus palustris,Pinus,PIPA,PI
45,Pinus palustris,Pinus,PIPA,PI
377,Pinus palustris,Pinus,PIPA,PI
22,Quercus laevis,Quercus,QULA,QU
114,Pinus palustris,Pinus,PIPA,PI
263,Quercus laevis,Quercus,QULA,QU
97,Pinus palustris,Pinus,PIPA,PI
52,Quercus laevis,Quercus,QULA,QU
215,Pinus elliottii,Pinus,PIEL,PI
180,Pinus palustris,Pinus,PIPA,PI
455,Quercus laevis,Quercus,QULA,QU
448,Quercus laevis,Quercus,QULA,QU
416,Quercus laevis,Quercus,QULA,QU
546,Pinus palustris,Pinus,PIPA,PI
30,Quercus geminata,Quercus,QUGE,QU
423,Pinus taeda,Pinus,PITA,PI
141,Pinus palustris,Pinus,PIPA,PI
111,Pinus palustris,Pinus,PIPA,PI
590,Other species,Other,OTHER,PI
454,Pinus palustris,Pinus,PIPA,PI
177,Pinus palustris,Pinus,PIPA,PI
475,Pinus elliottii,Pinus,PIEL,PI
610,Pinus palustris,Pinus,PIPA,PI
490,Other species,Other,OTHER,QU
181,Pinus palustris,Pinus,PIPA,PI
206,Quercus geminata,Quercus,QUGE,QU
271,Pinus palustris,Pinus,PIPA,PI
281,Quercus laevis,Quercus,QULA,QU
426,Quercus laevis,Quercus,QULA,QU
466,Pinus palustris,Pinus,PIPA,PI
25,Pinus palustris,Pinus,PIPA,PI
536,Pinus palustris,Pinus,PIPA,PI
242,Pinus palustris,Pinus,PIPA,PI
559,Pinus palustris,Pinus,PIPA,PI
57,Pinus palustris,Pinus,PIPA,PI
86,Quercus laevis,Quercus,QULA,QU
398,Pinus palustris,Pinus,PIPA,PI
525,Quercus laevis,Quercus,QULA,QU
335,Pinus palustris,Pinus,PIPA,PI
73,Quercus laevis,Quercus,QULA,QU
231,Pinus palustris,Pinus,PIPA,PI
592,Pinus palustris,Pinus,PIPA,PI
384,Quercus laevis,Quercus,QULA,QU
270,Pinus palustris,Pinus,PIPA,PI
53,Pinus palustris,Pinus,PIPA,PI
342,Pinus palustris,Pinus,PIPA,PI
14,Pinus taeda,Pinus,PITA,PI
31,Quercus nigra,Quercus,QUNI,QU
140,Quercus laevis,Quercus,QULA,QU
303,Pinus palustris,Pinus,PIPA,PI
95,Pinus palustris,Pinus,PIPA,PI
221,Pinus palustris,Pinus,PIPA,PI
280,Pinus palustris,Pinus,PIPA,PI
156,Pinus palustris,Pinus,PIPA,PI
382,Quercus geminata,Quercus,QUGE,QU
403,Pinus palustris,Pinus,PIPA,PI
133,Pinus elliottii,Pinus,PIEL,PI
395,Pinus taeda,Pinus,PITA,PI
58,Pinus palustris,Pinus,PIPA,PI
315,Pinus palustris,Pinus,PIPA,PI
298,Pinus palustris,Pinus,PIPA,PI
128,Pinus palustris,Pinus,PIPA,PI
213,Pinus palustris,Pinus,PIPA,PI
256,Quercus laevis,Quercus,QULA,QU
564,Acer rubrum,Acer,ACRU,AC
530,Pinus palustris,Pinus,PIPA,PI
348,Pinus palustris,Pinus,PIPA,PI
365,Quercus laevis,Quercus,QULA,QU
109,Pinus palustris,Pinus,PIPA,PI
82,Quercus laevis,Quercus,QULA,QU
265,Quercus laevis,Quercus,QULA,QU
214,Pinus palustris,Pinus,PIPA,PI
571,Quercus laevis,Quercus,QULA,QU
90,Quercus laevis,Quercus,QULA,QU
401,Liquidambar styraciflua,Liquidambar,LIST,LI
173,Pinus palustris,Pinus,PIPA,PI
23,Quercus laevis,Quercus,QULA,QU
476,Quercus nigra,Quercus,QUNI,QU
391,Pinus palustris,Pinus,PIPA,PI
480,Pinus palustris,Pinus,PIPA,PI
245,Quercus laevis,Quercus,QULA,QU
557,Pinus palustris,Pinus,PIPA,PI
72,Pinus palustris,Pinus,PIPA,PI
291,Pinus palustris,Pinus,PIPA,PI
363,Pinus palustris,Pinus,PIPA,PI
440,Pinus palustris,Pinus,PIPA,PI
157,Acer rubrum,Acer,ACRU,AC
134,Pinus palustris,Pinus,PIPA,PI
465,Pinus palustris,Pinus,PIPA,PI
586,Pinus palustris,Pinus,PIPA,PI
552,Quercus laevis,Quercus,QULA,QU
293,Pinus palustris,Pinus,PIPA,PI
581,Pinus palustris,Pinus,PIPA,PI
518,Pinus palustris,Pinus,PIPA,PI
266,Quercus geminata,Quercus,QUGE,QU
115,Pinus palustris,Pinus,PIPA,PI
496,Pinus palustris,Pinus,PIPA,PI
62,Quercus laevis,Quercus,QULA,QU
470,Pinus palustris,Pinus,PIPA,PI
531,Quercus laevis,Quercus,QULA,QU
414,Pinus palustris,Pinus,PIPA,PI
393,Quercus laevis,Quercus,QULA,QU
394,Pinus palustris,Pinus,PIPA,PI
512,Pinus palustris,Pinus,PIPA,PI
288,Quercus laevis,Quercus,QULA,QU
28,Pinus palustris,Pinus,PIPA,PI
392,Pinus palustris,Pinus,PIPA,PI
226,Pinus palustris,Pinus,PIPA,PI
183,Pinus palustris,Pinus,PIPA,PI
179,Pinus palustris,Pinus,PIPA,PI
158,Pinus palustris,Pinus,PIPA,PI
351,Pinus palustris,Pinus,PIPA,PI
420,Pinus palustris,Pinus,PIPA,PI
316,Pinus palustris,Pinus,PIPA,PI
540,Pinus palustris,Pinus,PIPA,PI
505,Pinus elliottii,Pinus,PIEL,PI
602,Pinus palustris,Pinus,PIPA,PI
407,Pinus palustris,Pinus,PIPA,PI
478,Quercus laevis,Quercus,QULA,QU
405,Pinus palustris,Pinus,PIPA,PI
324,Pinus palustris,Pinus,PIPA,PI
216,Pinus palustris,Pinus,PIPA,PI
306,Pinus palustris,Pinus,PIPA,PI
29,Pinus palustris,Pinus,PIPA,PI
78,Pinus palustris,Pinus,PIPA,PI
578,Quercus laevis,Quercus,QULA,QU
211,Pinus palustris,Pinus,PIPA,PI
431,Quercus geminata,Quercus,QUGE,QU
489,Pinus palustris,Pinus,PIPA,PI
124,Quercus laevis,Quercus,QULA,QU
400,Pinus palustris,Pinus,PIPA,PI
123,Quercus geminata,Quercus,QUGE,QU
193,Pinus palustris,Pinus,PIPA,PI
253,Pinus palustris,Pinus,PIPA,PI
352,Pinus palustris,Pinus,PIPA,PI
594,Pinus palustris,Pinus,PIPA,PI
207,Pinus palustris,Pinus,PIPA,PI
87,Pinus palustris,Pinus,PIPA,PI
583,Pinus palustris,Pinus,PIPA,PI
430,Pinus palustris,Pinus,PIPA,PI
529,Pinus palustris,Pinus,PIPA,PI
21,Pinus elliottii,Pinus,PIEL,PI
495,Pinus palustris,Pinus,PIPA,PI
539,Pinus palustris,Pinus,PIPA,PI
419,Pinus palustris,Pinus,PIPA,PI
198,Pinus palustris,Pinus,PIPA,PI
252,Pinus palustris,Pinus,PIPA,PI
208,Pinus palustris,Pinus,PIPA,PI
46,Pinus palustris,Pinus,PIPA,PI
399,Pinus palustris,Pinus,PIPA,PI
479,Pinus palustris,Pinus,PIPA,PI
164,Quercus laevis,Quercus,QULA,QU
94,Quercus laevis,Quercus,QULA,QU
44,Pinus palustris,Pinus,PIPA,PI
357,Pinus palustris,Pinus,PIPA,PI
220,Pinus palustris,Pinus,PIPA,PI
402,Pinus palustris,Pinus,PIPA,PI
234,Pinus palustris,Pinus,PIPA,PI
340,Quercus laevis,Quercus,QULA,QU
598,Pinus taeda,Pinus,PITA,PI
484,Quercus laevis,Quercus,QULA,QU
368,Other species,Other,OTHER,OT
165,Pinus palustris,Pinus,PIPA,PI
54,Pinus palustris,Pinus,PIPA,PI
43,Pinus palustris,Pinus,PIPA,PI
612,Pinus palustris,Pinus,PIPA,PI
119,Quercus laevis,Quercus,QULA,QU
9,Quercus laevis,Quercus,QULA,QU
112,Pinus palustris,Pinus,PIPA,PI
547,Quercus laevis,Quercus,QULA,QU
235,Acer rubrum,Acer,ACRU,AC
98,Pinus palustris,Pinus,PIPA,PI
608,Pinus palustris,Pinus,PIPA,PI
606,Quercus laevis,Quercus,QULA,QU
523,Quercus laevis,Quercus,QULA,QU
142,Pinus palustris,Pinus,PIPA,PI
20,Other species,Other,OTHER,PI
469,Quercus nigra,Quercus,QUNI,QU
40,Liquidambar styraciflua,Liquidambar,LIST,LI
432,Quercus laevis,Quercus,QULA,QU
375,Pinus palustris,Pinus,PIPA,PI
188,Pinus palustris,Pinus,PIPA,PI
258,Pinus taeda,Pinus,PITA,PI
100,Pinus palustris,Pinus,PIPA,PI
305,Quercus laevis,Quercus,QULA,QU
609,Pinus palustris,Pinus,PIPA,PI
397,Pinus palustris,Pinus,PIPA,PI
233,Pinus palustris,Pinus,PIPA,PI
237,Acer rubrum,Acer,ACRU,AC
435,Pinus palustris,Pinus,PIPA,PI
501,Pinus palustris,Pinus,PIPA,PI
172,Pinus palustris,Pinus,PIPA,PI
567,Pinus palustris,Pinus,PIPA,PI
203,Quercus geminata,Quercus,QUGE,QU
279,Quercus laevis,Quercus,QULA,QU
190,Liquidambar styraciflua,Liquidambar,LIST,LI
135,Pinus palustris,Pinus,PIPA,PI
187,Pinus palustris,Pinus,PIPA,PI
292,Pinus palustris,Pinus,PIPA,PI
508,Pinus taeda,Pinus,PITA,PI
474,Pinus palustris,Pinus,PIPA,PI
588,Pinus palustris,Pinus,PIPA,PI
367,Pinus palustris,Pinus,PIPA,PI
313,Quercus laevis,Quercus,QULA,QU
169,Pinus palustris,Pinus,PIPA,PI
568,Pinus palustris,Pinus,PIPA,PI
587,Quercus laevis,Quercus,QULA,QU
321,Pinus palustris,Pinus,PIPA,PI
272,Pinus palustris,Pinus,PIPA,PI
160,Pinus palustris,Pinus,PIPA,PI
205,Pinus palustris,Pinus,PIPA,PI
42,Quercus geminata,Quercus,QUGE,QU
415,Pinus palustris,Pinus,PIPA,PI
67,Pinus palustris,Pinus,PIPA,PI
225,Quercus nigra,Quercus,QUNI,QU
96,Pinus palustris,Pinus,PIPA,PI
388,Quercus laevis,Quercus,QULA,QU
26,Pinus palustris,Pinus,PIPA,PI
161,Pinus palustris,Pinus,PIPA,PI
318,Pinus palustris,Pinus,PIPA,PI
417,Pinus palustris,Pinus,PIPA,PI
229,Pinus taeda,Pinus,PITA,PI
68,Pinus palustris,Pinus,PIPA,PI
361,Pinus palustris,Pinus,PIPA,PI
50,Pinus palustris,Pinus,PIPA,PI
427,Pinus palustris,Pinus,PIPA,PI
524,Pinus palustris,Pinus,PIPA,PI
155,Pinus taeda,Pinus,PITA,PI
379,Quercus laevis,Quercus,QULA,QU
471,Pinus palustris,Pinus,PIPA,PI
35,Pinus palustris,Pinus,PIPA,PI
387,Pinus palustris,Pinus,PIPA,PI
232,Other species,Other,OTHER,QU
3,Pinus palustris,Pinus,PIPA,PI
194,Pinus taeda,Pinus,PITA,PI
494,Pinus palustris,Pinus,PIPA,PI
182,Pinus palustris,Pinus,PIPA,PI
184,Quercus laevis,Quercus,QULA,QU
